seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct,concurrent,genre_demand,team_size,useful_staff
1,0,1985,small,microstar_64,thrift,4.60,21.3,28.0,0.762,20,10,1,75,0,3500,7773,0,-4273,0.00,1,0.978,1,2
1,1,1985,small,microstar_64,thrift,3.60,19.0,28.0,0.677,25,9,0,72,0,3000,6743,0,-3743,0.00,1,1.023,1,2
1,2,1986,small,microstar_64,thrift,4.00,21.3,28.0,0.762,17,8,0,73,0,2800,6243,0,-3443,0.00,1,1.573,1,2
1,3,1986,small,microstar_64,thrift,4.50,23.6,28.0,0.842,25,8,0,76,0,2900,6415,0,-3515,0.00,1,1.096,1,2
1,4,1986,small,microstar_64,thrift,5.90,25.4,28.0,0.908,12,7,0,324,0,2500,5656,0,-3156,0.01,1,1.090,1,2
1,5,1986,small,microstar_64,thrift,5.20,26.5,28.0,0.946,24,8,0,79,0,2800,6171,0,-3371,0.00,1,1.053,1,2
1,6,1988,small,famiclone,thrift,6.50,28.4,28.0,1.016,14,7,0,4008,15859,4800,10716,0,9943,0.03,1,1.570,1,2
1,7,1988,small,famiclone,thrift,6.30,30.2,28.0,1.079,8,7,3,954,0,6100,13593,0,-7493,0.01,1,1.204,1,2
1,8,1988,small,famiclone,thrift,5.90,28.7,28.0,1.024,16,7,0,918,0,4900,10815,0,-5915,0.01,1,1.023,1,2
1,9,1989,small,famiclone,thrift,6.30,29.1,28.0,1.040,12,8,0,3963,15242,5300,11839,0,8703,0.03,1,1.357,1,2
1,10,1989,small,famiclone,thrift,7.20,31.3,28.0,1.117,3,6,3,16864,81630,5900,13008,0,74522,0.14,1,1.101,1,2
1,11,1989,small,famiclone,thrift,7.70,33.5,28.0,1.196,7,6,5,15575,74381,6700,14912,0,66169,0.13,2,1.049,1,2
1,12,1989,small,famiclone,thrift,8.20,42.5,28.0,1.519,3,3,1,125192,650640,3600,12900,4848,641340,1.04,3,1.450,2,2
