seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct,concurrent,genre_demand,team_size,useful_staff
5,0,1985,small,microstar_64,thrift,4.70,21.1,28.0,0.753,6,9,2,80,0,3600,7980,0,-4380,0.00,1,1.018,1,2
5,1,1985,small,microstar_64,thrift,4.30,20.4,28.0,0.730,17,8,0,75,0,2800,6228,0,-3428,0.00,1,0.973,1,2
5,2,1985,small,microstar_64,thrift,5.00,22.0,28.0,0.785,13,8,0,79,0,2800,6228,0,-3428,0.00,1,0.736,1,2
5,3,1986,small,microstar_64,thrift,6.40,26.8,28.0,0.956,16,7,0,879,2315,2700,5900,0,-885,0.02,1,1.109,1,2
5,4,1986,small,microstar_64,thrift,5.70,26.5,28.0,0.946,21,8,0,250,0,2800,6171,0,-3371,0.01,1,1.273,1,2
5,5,1986,small,microstar_64,thrift,5.10,25.7,28.0,0.920,9,8,0,86,0,2800,6171,0,-3371,0.00,1,0.881,1,2
5,6,1987,small,microstar_64,thrift,5.50,28.1,28.0,1.004,18,7,0,79,0,2700,6020,0,-3320,0.00,1,0.879,1,2
5,7,1988,small,famiclone,thrift,7.00,28.8,28.0,1.027,8,7,0,7908,35922,4900,10815,0,30007,0.07,1,1.348,1,2
5,8,1988,small,famiclone,thrift,7.70,35.5,28.0,1.267,11,7,5,9833,43891,7000,15445,0,35446,0.08,2,1.036,1,2
5,9,1988,small,famiclone,thrift,7.60,34.6,28.0,1.237,3,7,5,18478,89005,7000,15445,0,80560,0.15,2,1.269,1,2
5,10,1989,small,famiclone,thrift,7.80,41.9,28.0,1.498,3,4,2,51527,264106,4600,12229,1935,256477,0.43,2,1.365,2,2
5,11,1989,small,famiclone,thrift,9.10,50.9,28.0,1.819,3,4,4,959451,5005410,5600,28375,16020,4982635,8.00,3,1.388,4,2
5,14,1989,small,famiclone,thrift,6.90,27.6,28.0,0.987,3,6,4,4037,14895,6300,62084,48124,-40889,0.03,4,0.453,3,2
5,12,1989,medium,famiclone,thrift,4.90,671.2,983.0,0.683,3,9,2,25974,185506,14700,114173,81433,86033,0.22,3,1.035,13,5
5,13,1989,medium,famiclone,thrift,5.80,756.9,983.0,0.770,0,7,1,68543,513911,13500,148863,118758,378548,0.57,3,1.201,14,5
5,16,1990,small,famiclone,meridian,8.20,34.6,28.0,1.237,2,4,1,36965,147285,8200,48542,38892,106943,0.31,5,0.884,4,2
5,19,1990,small,famiclone,meridian,7.70,41.9,28.0,1.496,2,3,0,11524,42565,6800,38801,30796,10564,0.10,6,0.834,5,2
5,15,1990,medium,famiclone,meridian,7.00,797.8,983.0,0.812,0,7,1,129303,768094,25300,132419,102654,660975,1.08,4,0.883,13,5
5,17,1990,small,famiclone,meridian,8.70,43.9,28.0,1.567,1,3,1,159044,665081,7800,51834,42612,621047,1.33,5,1.227,4,2
5,20,1990,medium,famiclone,meridian,5.60,761.2,983.0,0.774,0,6,1,11258,49362,21700,98033,72504,-26971,0.09,7,0.599,11,5
5,23,1990,medium,famiclone,meridian,5.20,677.7,983.0,0.689,0,7,1,1636,0,20900,110607,86042,-89707,0.01,6,0.731,7,5
5,21,1990,medium,famiclone,meridian,5.80,632.3,983.0,0.643,1,7,1,13066,62407,20100,97836,74242,-15329,0.11,8,0.915,6,5
5,18,1990,medium,famiclone,meridian,7.10,880.2,983.0,0.895,2,7,0,195091,1195869,23000,105952,78880,1112917,1.63,5,0.760,12,5
5,22,1990,medium,famiclone,meridian,6.80,829.5,983.0,0.844,2,7,0,34533,196690,21600,91542,66184,126748,0.29,8,0.290,10,5
5,24,1990,medium,famiclone,meridian,6.00,728.5,983.0,0.741,3,7,0,19407,102302,20800,78136,53632,44966,0.16,7,0.351,9,5
5,26,1991,medium,famiclone,meridian,7.20,812.4,983.0,0.826,2,6,0,41151,244975,18100,62661,41314,200414,0.34,7,0.363,8,5
5,25,1991,medium,famiclone,meridian,7.80,874.1,983.0,0.889,0,7,1,70491,425248,21800,122737,97134,324311,0.59,7,0.766,8,5
5,27,1991,medium,famiclone,northgate,6.10,826.6,983.0,0.841,3,6,0,36805,164555,28400,99290,77420,93665,0.31,5,1.000,8,5
5,28,1991,medium,famiclone,northgate,6.50,821.1,983.0,0.835,2,7,0,32069,136852,31700,71633,47216,96919,0.27,6,0.350,8,5
5,30,1991,medium,famiclone,northgate,7.30,841.6,983.0,0.856,0,7,1,34656,149777,34600,87545,60903,96832,0.29,7,0.257,8,5
5,29,1991,medium,famiclone,northgate,7.40,908.2,983.0,0.924,0,7,1,73678,354278,34600,126182,99540,262696,0.61,6,0.674,8,5
5,31,1991,medium,famiclone,northgate,7.30,922.8,983.0,0.939,0,6,1,64735,315685,31300,112575,88480,234410,0.54,7,0.847,8,5
5,32,1991,medium,famiclone,northgate,6.60,846.8,983.0,0.861,0,7,1,27966,116418,34600,87545,60903,63473,0.23,8,0.435,8,5
5,33,1991,medium,famiclone,northgate,6.60,900.1,983.0,0.916,0,7,1,39438,179329,34600,126182,99540,87747,0.33,6,0.916,8,5
5,34,1991,medium,famiclone,northgate,7.90,908.7,983.0,0.924,0,6,1,80352,406528,31300,78231,54136,359597,0.67,7,0.651,8,5
5,36,1992,medium,famiclone,northgate,6.60,832.0,983.0,0.846,0,7,1,16115,54795,34800,87705,60903,1890,0.13,6,0.432,8,5
5,35,1991,medium,famiclone,northgate,8.10,963.8,983.0,0.980,0,7,1,86294,440192,34600,126182,99540,348610,0.72,6,0.378,8,5
5,37,1992,medium,ibm_compatible,northgate,6.70,855.8,983.0,0.871,3,6,0,54167,316487,19600,92507,77420,243580,0.60,7,1.072,8,5
5,38,1992,medium,ibm_compatible,northgate,7.00,784.4,983.0,0.798,0,6,1,58249,341635,21500,70711,54136,292424,0.65,6,0.334,8,5
5,39,1992,medium,ibm_compatible,northgate,7.10,894.5,983.0,0.910,0,7,1,108260,655114,23800,117819,99540,561095,1.20,6,0.709,8,5
5,40,1992,medium,ibm_compatible,northgate,8.50,989.2,983.0,1.006,0,6,1,203978,1265718,21500,75349,58774,1211869,2.27,6,0.346,8,5
5,41,1992,medium,ibm_compatible,atlas,8.20,1044.0,983.0,1.062,0,6,1,430514,2148837,31500,105055,88480,2075282,4.78,6,0.914,8,5
5,42,1992,medium,ibm_compatible,atlas,7.90,972.8,983.0,0.990,1,6,1,163978,809877,31500,76895,60320,764482,1.82,7,0.436,8,5
5,43,1992,medium,ibm_compatible,atlas,5.90,811.6,983.0,0.826,2,7,1,33181,137514,34700,117819,99540,54395,0.37,7,0.852,8,5
5,44,1992,medium,ibm_compatible,atlas,6.10,814.7,983.0,0.829,0,7,1,30744,124168,35700,96912,78125,62956,0.34,7,0.325,11,5
5,45,1992,medium,ibm_compatible,atlas,7.20,989.2,983.0,1.006,0,7,1,113637,555796,36800,138476,119124,454120,1.26,7,0.914,10,5
5,46,1993,medium,ibm_compatible,atlas,6.70,916.4,983.0,0.932,0,7,1,60152,279099,37100,107678,88164,208521,0.67,8,0.315,10,5
5,47,1993,medium,ibm_compatible,atlas,6.90,961.0,983.0,0.978,0,7,1,108031,533180,37900,153249,133318,417831,1.20,7,1.035,10,5
5,48,1993,large,pocket_play,atlas,7.40,8078.0,8387.0,0.963,1,41,1,469087,2459979,535100,795714,514072,2199365,5.86,1,0.689,10,10
5,49,1994,large,pocket_play,atlas,6.60,8487.7,8387.0,1.012,0,41,1,125692,273505,537500,1122177,839271,-311172,1.57,2,0.544,10,10
5,50,1994,large,pocket_play,atlas,7.50,8163.2,8387.0,0.973,0,40,1,326888,1589046,532900,927050,646556,1194896,4.09,1,1.362,10,10
