seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct,concurrent,genre_demand,team_size,useful_staff
2,0,1985,small,microstar_64,thrift,4.60,20.8,28.0,0.743,16,9,2,83,0,3500,7743,0,-4243,0.00,1,1.090,1,2
2,1,1985,small,microstar_64,thrift,4.90,23.9,28.0,0.855,24,9,0,204,0,3000,6743,0,-3743,0.01,1,1.172,1,2
2,2,1985,small,microstar_64,thrift,4.90,23.7,28.0,0.845,25,9,0,176,0,3000,6743,0,-3743,0.00,1,1.024,1,2
2,3,1986,small,microstar_64,thrift,5.90,27.1,28.0,0.969,14,7,0,1286,4644,2700,5900,0,1444,0.03,1,1.129,1,2
2,4,1986,small,microstar_64,thrift,7.30,30.4,28.0,1.087,2,7,2,8113,43357,3000,6686,0,39671,0.21,1,0.758,1,2
2,5,1986,small,microstar_64,thrift,7.90,35.7,28.0,1.274,10,9,5,10186,54184,4200,9276,0,49108,0.27,2,0.871,1,2
2,6,1987,small,famiclone,thrift,8.30,35.2,28.0,1.258,2,7,4,103640,530491,6400,14163,0,522728,0.86,2,1.418,1,2
2,7,1987,small,famiclone,thrift,8.50,43.6,28.0,1.559,3,3,2,57884,297230,4100,19534,10425,281796,0.48,2,0.989,5,2
2,10,1987,small,famiclone,meridian,7.40,42.5,28.0,1.518,2,3,0,3196,3846,9600,56387,45111,-42941,0.03,5,0.854,12,2
2,8,1987,small,famiclone,thrift,8.60,42.2,28.0,1.506,2,3,0,101580,527861,3700,30153,21860,501408,0.85,3,1.064,6,2
2,9,1987,small,famiclone,meridian,8.40,53.7,28.0,1.918,0,3,0,224589,930829,8200,41509,31897,897520,1.87,4,0.922,10,2
2,11,1987,small,famiclone,meridian,8.90,46.7,28.0,1.669,2,3,0,171911,716563,9700,58339,46935,667924,1.43,5,0.849,12,2
2,12,1988,small,famiclone,meridian,8.90,49.3,28.0,1.760,1,2,0,349914,1480855,8200,47200,37548,1441855,2.92,5,0.860,12,2
2,15,1988,small,famiclone,meridian,8.10,37.1,28.0,1.324,2,5,5,14697,51486,12400,34258,19705,29628,0.12,5,0.543,3,2
2,17,1988,small,famiclone,northgate,7.80,37.3,28.0,1.331,0,4,1,7574,15015,12100,25600,16317,1515,0.06,7,0.233,4,2
2,13,1988,medium,famiclone,meridian,7.20,932.2,983.0,0.948,0,7,1,266108,1648919,24000,118513,90274,1554406,2.22,4,0.810,15,5
2,14,1988,medium,famiclone,meridian,7.80,987.1,983.0,1.004,0,7,1,234355,1457136,25000,129612,100215,1352524,1.95,5,0.683,14,5
2,18,1988,small,famiclone,northgate,8.40,37.4,28.0,1.336,2,4,0,34868,113957,11600,27956,19002,97601,0.29,7,0.986,4,2
2,16,1988,medium,famiclone,meridian,6.80,990.6,983.0,1.008,0,6,1,98793,611453,21800,107444,81784,525809,0.82,6,0.801,13,5
2,22,1989,medium,famiclone,northgate,4.80,516.9,983.0,0.526,3,10,0,2344,0,36300,77367,49475,-41067,0.02,6,0.712,6,5
2,20,1989,small,famiclone,northgate,9.00,40.5,28.0,1.447,0,4,1,253648,912678,13500,37101,26729,889077,2.11,6,0.993,5,2
2,19,1988,medium,famiclone,northgate,7.10,970.3,983.0,0.987,0,7,1,190378,976698,36100,112258,84483,900540,1.59,6,0.667,12,5
2,21,1989,medium,famiclone,northgate,8.30,1084.2,983.0,1.103,0,7,1,959784,5149258,35500,103579,76275,5081179,8.00,6,0.577,11,5
2,24,1989,medium,famiclone,northgate,8.30,1070.0,983.0,1.088,0,6,1,959204,5230384,34200,127802,101480,5136782,7.99,5,0.740,13,5
2,26,1989,medium,famiclone,northgate,8.40,1067.0,983.0,1.085,3,6,0,914346,5044560,30600,104649,81130,4970511,7.62,6,0.770,12,5
2,25,1989,medium,famiclone,northgate,5.50,572.5,983.0,0.582,0,9,1,38973,178722,37600,86538,57606,129784,0.32,6,0.346,8,5
2,23,1989,medium,famiclone,northgate,7.30,1014.1,983.0,1.032,0,7,1,355507,1900002,37000,120437,91978,1816565,2.96,6,0.215,14,5
2,27,1989,medium,famiclone,northgate,5.40,520.5,983.0,0.530,0,10,1,61359,301221,43300,119226,85917,225295,0.51,5,0.456,9,5
2,29,1989,medium,famiclone,northgate,5.20,575.4,983.0,0.585,1,7,0,19469,78119,31800,94033,69560,15886,0.16,7,0.777,10,5
2,28,1989,medium,famiclone,northgate,7.00,987.3,983.0,1.004,0,6,1,311419,1715496,32400,109869,84968,1638027,2.60,6,0.653,11,5
2,30,1990,medium,famiclone,northgate,7.30,998.6,983.0,1.016,1,7,1,223432,1224894,35100,109401,82377,1150593,1.86,6,0.310,10,5
2,31,1990,medium,famiclone,northgate,5.60,738.5,983.0,0.751,0,7,1,140565,762692,35600,110863,83493,687429,1.17,5,0.874,10,5
2,32,1990,medium,famiclone,northgate,6.50,958.9,983.0,0.975,3,6,0,209164,1158945,29400,91929,69283,1096416,1.74,6,0.320,10,5
2,33,1990,medium,famiclone,atlas,6.90,872.8,983.0,0.888,0,7,1,456767,2010275,52300,111002,83493,1951573,3.81,6,0.705,10,5
2,34,1990,medium,famiclone,atlas,6.90,1038.2,983.0,1.056,3,7,0,197709,850710,48200,108022,82664,790888,1.65,7,0.357,10,5
2,35,1990,medium,famiclone,atlas,6.50,842.4,983.0,0.857,3,6,0,244999,1078529,43000,87585,64939,1033944,2.04,6,0.657,10,5
2,36,1990,medium,famiclone,atlas,7.90,999.9,983.0,1.017,0,7,1,322366,1430540,52300,120506,92997,1362334,2.69,7,0.205,10,5
2,37,1990,medium,famiclone,atlas,5.70,775.8,983.0,0.789,0,7,1,96512,396777,52300,111002,83493,338075,0.80,7,0.648,10,5
2,38,1990,medium,famiclone,atlas,7.00,952.4,983.0,0.969,0,7,1,192357,843605,52300,124052,96543,771853,1.60,8,0.372,10,5
2,40,1990,medium,famiclone,atlas,7.90,1084.5,983.0,1.103,3,6,0,402583,1863288,43000,103251,80605,1803037,3.35,9,0.814,10,5
2,39,1990,medium,famiclone,atlas,7.50,1008.5,983.0,1.026,3,6,0,243045,1097069,43000,87585,64939,1052484,2.03,8,0.716,10,5
2,42,1991,medium,famiclone,atlas,6.50,943.0,983.0,0.959,3,6,0,112791,499684,44400,115984,92603,428100,0.94,9,0.795,10,5
