seed,index,year,size,platform,publisher,review,quality,expected_quality,quality_ratio,bugs,dev_weeks,polish_weeks,units,revenue,advance,dev_cost,labour_cost,profit,attach_pct,concurrent,genre_demand,team_size,useful_staff
1,0,1985,small,microstar_64,thrift,4.60,21.3,28.0,0.762,20,10,1,90,0,3500,7773,0,-4273,0.00,1,0.978,1,2
1,1,1985,small,microstar_64,thrift,3.60,19.1,28.0,0.682,25,9,0,72,0,3000,6743,0,-3743,0.00,1,1.023,1,2
1,2,1986,small,microstar_64,thrift,4.00,21.3,28.0,0.762,17,8,0,104,0,2800,6243,0,-3443,0.00,1,1.573,1,2
1,3,1986,small,microstar_64,thrift,4.50,23.6,28.0,0.842,25,8,0,111,0,2900,6415,0,-3515,0.00,1,1.096,1,2
1,4,1986,small,microstar_64,thrift,5.70,26.2,28.0,0.937,17,8,0,968,2724,2800,6171,0,-647,0.03,1,1.090,1,2
1,5,1986,small,microstar_64,thrift,5.10,26.4,28.0,0.944,14,8,0,293,0,2800,6171,0,-3371,0.01,1,0.997,1,2
1,6,1987,small,microstar_64,thrift,6.00,27.9,28.0,0.996,9,7,0,924,2578,2700,6013,0,-735,0.02,1,1.215,1,2
1,7,1989,small,famiclone,thrift,5.80,25.5,28.0,0.909,12,7,0,3810,14663,5000,11076,0,8587,0.03,1,1.600,1,2
1,8,1990,small,famiclone,thrift,7.70,34.7,28.0,1.238,12,7,4,27311,134222,6800,15078,0,125944,0.23,1,1.407,1,2
1,9,1990,small,famiclone,thrift,7.40,39.6,28.0,1.413,2,5,1,14681,71397,4700,16624,6184,59473,0.12,2,1.515,2,2
1,10,1990,small,famiclone,thrift,8.40,49.6,28.0,1.773,3,4,3,434262,2253672,4800,22944,12368,2235528,3.62,3,1.085,2,2
1,11,1990,small,famiclone,thrift,8.10,39.9,28.0,1.427,3,3,1,86111,446402,3700,21360,13114,428742,0.72,3,1.217,5,2
1,15,1991,small,famiclone,meridian,6.80,33.0,28.0,1.179,2,6,3,1467,0,12100,54319,40113,-42219,0.01,4,0.335,3,2
1,12,1990,medium,famiclone,thrift,7.00,764.8,983.0,0.778,0,7,1,230441,1762499,12100,108676,81888,1665923,1.92,3,0.960,12,5
1,13,1991,medium,famiclone,meridian,6.60,884.8,983.0,0.900,0,7,1,59926,342751,25800,160087,129772,208464,0.50,3,0.744,15,5
1,14,1991,medium,famiclone,meridian,6.10,910.1,983.0,0.926,3,7,0,44243,247878,25300,161683,131952,111495,0.37,3,0.836,14,5
1,16,1991,small,famiclone,meridian,8.70,54.9,28.0,1.959,1,3,1,108443,451598,7200,34329,25905,424469,0.90,5,0.942,3,2
1,18,1991,small,famiclone,meridian,8.40,50.1,28.0,1.790,0,3,1,40064,164697,7300,38507,29955,133490,0.33,5,0.600,4,2
1,17,1991,medium,famiclone,meridian,7.70,1016.9,983.0,1.034,1,7,1,157013,954572,26400,164253,133182,816719,1.31,5,0.672,13,5
1,19,1991,small,famiclone,meridian,8.70,43.3,28.0,1.547,1,2,0,66229,280367,5700,28357,21618,257710,0.55,6,0.881,4,2
1,20,1991,medium,famiclone,meridian,6.60,801.2,983.0,0.815,0,6,1,26773,147648,23100,129305,102184,41443,0.22,7,0.861,12,5
1,21,1991,small,famiclone,meridian,8.70,47.3,28.0,1.688,0,2,1,69598,297096,6700,39308,31432,264488,0.58,7,0.269,5,2
1,22,1991,medium,famiclone,northgate,7.00,920.9,983.0,0.937,1,7,0,38646,167946,35200,118828,91752,84318,0.32,8,0.488,11,5
1,23,1991,medium,famiclone,northgate,6.90,951.6,983.0,0.968,1,7,1,61317,292859,31500,104326,80085,220033,0.51,8,0.702,6,5
1,24,1992,medium,famiclone,northgate,7.00,890.6,983.0,0.906,0,7,1,36619,157443,37400,121498,92736,73345,0.31,7,0.437,10,5
1,25,1992,medium,famiclone,northgate,7.90,977.3,983.0,0.994,3,7,0,79604,395817,30400,104941,81542,321276,0.66,8,0.755,7,5
1,26,1992,medium,ibm_compatible,northgate,7.00,870.1,983.0,0.885,2,7,0,190823,1123918,22600,83246,65864,1063272,2.12,6,1.255,9,5
1,27,1992,medium,ibm_compatible,northgate,8.10,1076.0,983.0,1.095,0,7,1,228834,1360157,23200,126396,108537,1256961,2.54,6,0.405,8,5
1,28,1992,medium,ibm_compatible,northgate,7.50,894.5,983.0,0.910,2,6,0,189397,1137486,19600,66131,51044,1090955,2.10,6,0.601,8,5
1,30,1992,medium,ibm_compatible,northgate,5.80,765.3,983.0,0.778,2,6,0,30683,171030,19600,66131,51044,124499,0.34,7,0.452,8,5
1,29,1992,medium,ibm_compatible,northgate,7.70,1016.8,983.0,1.034,0,7,1,263324,1597908,23800,132462,114183,1489246,2.93,6,0.504,8,5
1,31,1992,medium,ibm_compatible,northgate,7.80,977.3,983.0,0.994,0,7,1,271143,1662763,23800,132462,114183,1554101,3.01,6,0.712,8,5
1,32,1992,medium,ibm_compatible,northgate,6.80,885.1,983.0,0.900,0,7,1,94903,571693,24000,88525,70077,507168,1.05,7,0.370,10,5
1,33,1992,medium,ibm_compatible,northgate,7.90,1059.5,983.0,1.078,2,7,0,234044,1453359,23200,133664,115800,1342895,2.60,8,0.775,10,5
1,34,1992,medium,ibm_compatible,atlas,6.70,894.2,983.0,0.910,3,6,0,73592,340896,30600,84266,68166,287230,0.82,9,0.227,10,5
1,35,1993,medium,ibm_compatible,atlas,7.40,935.6,983.0,0.952,3,6,0,319516,1591073,31300,84622,68166,1537751,3.55,8,0.820,10,5
1,36,1993,medium,ibm_compatible,atlas,7.40,961.3,983.0,0.978,3,7,0,233350,1160886,34900,136932,118568,1058854,2.59,9,0.355,10,5
1,37,1994,large,pocket_play,atlas,6.70,7682.6,8387.0,0.916,1,40,1,469121,2392517,518600,712810,439840,2198307,5.86,1,1.156,10,10
1,38,1994,large,pocket_play,atlas,7.70,8787.2,8387.0,1.048,0,40,1,469262,2413374,518600,1016952,743982,1915022,5.87,2,0.389,10,10
1,39,1994,large,mega16,atlas,7.50,7766.9,8387.0,0.926,1,40,1,489765,2232692,795200,1004712,586208,2023180,4.90,1,1.044,10,10
1,40,1994,large,mega16,atlas,7.90,8573.7,8387.0,1.022,0,40,1,490194,2269337,795200,1426456,1007952,1638081,4.90,2,0.303,10,10
1,41,1995,large,mega16,atlas,6.50,7555.9,8387.0,0.901,1,41,1,207471,468908,845400,1135162,690225,179146,2.07,1,1.145,10,10
1,42,1995,large,mega16,atlas,7.30,8157.0,8387.0,0.973,0,42,1,102178,0,873400,1591624,1131961,-718224,1.02,2,0.312,10,10
